,,,,,,,,,,,,SUMME,EIGENANTEIL
,,1,Kabelbinder,1000 Stück Kabelbinder Schwarz 100/150/200/250/300mm,,,https://www.amazon.de/Honyear-Kabelbinder-Klebesockel-Hitzebest%C3%A4ndig-Kunststoff/dp/B0B3GPVQY8,"10,39",,,,,
,,1,Feinsicherungen,"150 Stück 0,5A 1A 1,6A 2A 2,5A 3A 3,15A 4A 5A 6,3A 8A 10A 12A 15A 20A 250V",,,https://www.amazon.de/AUKENIEN-Sicherungen-Glassicherung-Glasrohrsicherung-Feinsicherung/dp/B08Y8K2LVL,"9,89",,,,,
,,1,Thermosicherungen,100°C bis 280°C,,,https://www.amazon.de/BGTXINGI-Celsius-Schaltungs-thermische-Trenn-Temperatursicherung-Haushaltsger%C3%A4te-elektrisches-Ausr%C3%BCstungs-Ersatzteil/dp/B0BNHV14GC,"12,99",,,,,
,,1,Quetschverbinder,100 Stück,,,https://www.ebay.de/itm/326046803442,"27,66",,,,,
,,1,Thermoschalter,40-135°C,,,https://www.amazon.de/sourcing-map-Steuerschalter-Thermostat-Temperatur/dp/B087DZXJTH,"15,67",,,,,
,,0,Zuleitungen,10kg Kaltgerätekabel,,,https://chaos.social/@Bobo_PK/113876890153206610,0,"10,49",,,,
,,0,Stecker,,,,https://amazon.de/dp/B00AUPCB5C,"2,49",,,,,
,,0,Kupplung,,,,https://amazon.de/dp/B00AUPCOD6,"4,39",,,,,
,,1,Konturenstecker,10 Stück,,,https://amazon.de/dp/B0CWPJ8V1F,"16,45",,,,,
,,0,Bügeleisenzuleitung,,,,https://amazon.de/dp/B00475BKO4,"8,15",,,,,
,,5,Staubsaugerzuleitung,,,,https://www.ebay.de/itm/231866824324,"8,25",,,,,
,,0,Kippschalter,2 Stück,,,https://amazon.de/dp/B0D9JCSCDB,"4,99",,,,,
,,0,Widerstände,,,,,,,,,,
,,1,Isolierband,,,,https://amazon.de/dp/B00FYJ2AJQ,"3,87",,,,,
,,1,Jumper-Kabel,,,,https://amazon.de/dp/B01EV70C78,"5,94",,,,,
,,0,Kabel auf Rolle,,,,,,,,,,
,,0,Kondensatoren,,,,,,,,,,
