Ausgabenbereich,Zahlungsgrund/Gegenstand/Maßnahme,Zahlungsempfänger*in,Belegart,Zahlungsdatum,Belegnummer,Summe,Shop,Bestelldatum,Rechnungsdatum,Rechnungsnummer,Buchungstag,Kontoauszug,Betrag,Zahlungsreferenz,Link
Investive Maßnahme,Mechanik: Automatikkörner,Fluid Onlinehandel e.K.,Rechnung + Kontoauszug,15.04.2025,97,"6,93 €",Amazon,07.04.2025,07.04.2025,2025900982,15.04.2025,2025-3 S. 5,"71,24 €",59C3G6LIFPC0BHVH,https://www.amazon.de/dp/B000PTRHH0
Investive Maßnahme,Mechanik: Metallbohrer,Amazon Business EU SARL,Rechnung + Kontoauszug,10.04.2025,98,"22,57 €",Amazon,07.04.2025,09.04.2025,DE51XJ1DABEI,10.04.2025,2025-3 S. 3,"459,20 €",2JN853PCY8NEAPC9,https://www.amazon.de/dp/B0761K1KCY
Investive Maßnahme,Mechanik: Stufenbohrer,SHEN ZHEN SHI XING JIA YI KE JI YOU XIAN GONG SI,Rechnung + Kontoauszug,14.04.2025,99,"19,99 €",Amazon,07.04.2025,11.04.2025,DS-AEU-INV-DE-2025-170704516,14.04.2025,2025-3 S. 5,"32,27 €",6NB5YZ3PJ6GWHJTD,https://www.amazon.de/dp/B07XM6CJDC
Investive Maßnahme,Mechanik: Gewindebohrer,Amazon Business EU SARL,Rechnung + Kontoauszug,16.04.2025,100,"25,73 €",Amazon,11.04.2025,14.04.2025,DE520S8ZABEI,16.04.2025,2025-3 S. 6,"25,73 €",27K4KRR7CS6XP4GC,https://www.amazon.de/dp/B0038LH1N2
Investive Maßnahme,Mechanik: Taschenlampe,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,101,"19,88 €",Amazon,07.04.2025,10.04.2025,DE51Y47SABEI,11.04.2025,2025-3 S. 4,"130,77 €",1872HQLUNFRWYLTT,https://www.amazon.de/dp/B07MJBLYZ2
Investive Maßnahme,Mechanik: Druckverschlussbeutel,TK Gruppe GmbH,Rechnung + Kontoauszug,09.04.2025,102,"9,89 €",Amazon,07.04.2025,08.04.2025,DE502F1SDVYVPU,09.04.2025,2025-3 S. 2,"85,29 €",46L9LSEA7ZLTGYTD,https://www.amazon.de/dp/B082RGVWZ9
Investive Maßnahme,Mechanik: Magnetschalen,NingBo Bo Yu Hao Han Gong Ju Co Ltd,Rechnung + Kontoauszug,09.04.2025,103,"39,12 €",Amazon,07.04.2025,08.04.2025,DS-AEU-INV-DE-2025-164922873,09.04.2025,2025-3 S. 2,"85,29 €",46L9LSEA7ZLTGYTD,https://www.amazon.de/dp/B0CQMS666M
Investive Maßnahme,Mechanik: Cuttermesser,AK Klimatechnik GmbH,Rechnung + Kontoauszug,09.04.2025,104,"15,94 €",Amazon,07.04.2025,08.04.2025,DE5000PYJM29BI,09.04.2025,2025-3 S. 3,"15,94 €",18B5WC2U2QUFVBF9,https://www.amazon.de/dp/B01N1RMEG9
Investive Maßnahme,Dokumentation: Action Cam,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,105,"56,00 €",Amazon,07.04.2025,10.04.2025,DE51Y47SABEI,11.04.2025,2025-3 S. 4,"130,77 €",1872HQLUNFRWYLTT,https://www.amazon.de/dp/B0DNJRLJQ7
Investive Maßnahme,Dokumentation: Kopfband,SHEN ZHEN SHI TAI KE YUN DONG KE JI YOU XIAN GONG SI,Rechnung + Kontoauszug,09.04.2025,106,"8,99 €",Amazon,07.04.2025,08.04.2025,DS-AEU-INV-DE-2025-164922871,09.04.2025,2025-3 S. 2,"85,29 €",46L9LSEA7ZLTGYTD,https://www.amazon.de/dp/B078MPPPLN
Investive Maßnahme,Reinigung: Einweghandschuhe L,Oriplast GmbH,Rechnung + Kontoauszug,09.04.2025,107,"7,39 €",Amazon,07.04.2025,08.04.2025,RE2235731,09.04.2025,2025-3 S. 2,"14,77 €",2ZZOP97ZTDFEY426,https://www.amazon.de/dp/B00X81M4FW
Investive Maßnahme,Reinigung: Einweghandschuhe M,Oriplast GmbH,Rechnung + Kontoauszug,09.04.2025,108,"7,38 €",Amazon,07.04.2025,08.04.2025,RE2235731,09.04.2025,2025-3 S. 2,"14,77 €",2ZZOP97ZTDFEY426,https://www.amazon.de/dp/B00X81MA0Q
Investive Maßnahme,Reinigung: Arbeitshandschuhe,Amazon Business EU SARL,Rechnung + Kontoauszug,11.04.2025,109,"21,39 €",Amazon,09.04.2025,10.04.2025,DE51YF1RABEI,11.04.2025,2025-3 S. 5,"65,38 €",1PT0TE4LAKYYF85X,https://www.amazon.de/dp/B07B8TNL1J
Investive Maßnahme,Reinigung: Wanne,Marko Schneider,Rechnung + Kontoauszug,09.04.2025,110,"11,49 €",Amazon,07.04.2025,08.04.2025,DE50069M4D6RTI,09.04.2025,2025-3 S. 2,"11,49 €",4GAJXGBKVWTOY4EW,https://www.amazon.de/dp/B00I89Q9AA
Investive Maßnahme,Reinigung: Handwaschpaste,Firatec - Alfred Weets e.K.,Rechnung + Kontoauszug,09.04.2025,111,"19,54 €",Amazon,07.04.2025,08.04.2025,DE5004JZFOLBXI,09.04.2025,2025-3 S. 3,"19,54 €",4JMGA2EXRA74ULXD,https://www.amazon.de/dp/B00KTGEQ4G
Investive Maßnahme,Reinigung: Spiritus,Andre Burmeister 1a-Handelsagentur,Rechnung + Kontoauszug,10.04.2025,112,"11,38 €",Amazon,07.04.2025,08.04.2025,DE500J2JNLQXRI,10.04.2025,2025-3 S. 3,"11,38 €",2ETHMXVB231HXHS3,https://www.amazon.de/dp/B0CB3NF3GW
Investive Maßnahme,Reinigung: Reinigungspinsel,Sascha Deckmann,Rechnung + Kontoauszug,09.04.2025,113,"9,48 €",Amazon,07.04.2025,08.04.2025,RE1936634,09.04.2025,2025-3 S. 2,"85,29 €",46L9LSEA7ZLTGYTD,https://www.amazon.de/dp/B07R962ZGW
Investive Maßnahme,Reinigung: Kaffeefettlöser,SA.VI. srl,Rechnung + Kontoauszug,09.04.2025,114,"16,49 €",Amazon,07.04.2025,08.04.2025,IT500UYUWZVQ5U,09.04.2025,2025-3 S. 2,"16,49 €",69HF3L2G2LV1VSS7,https://www.amazon.de/dp/B004LCTBEO
